Date,Open,High,Low,Close,Volume,Adj Close
29-Dec-17,255.869995,256.649994,252.910004,254.759995,2519300,254.759995
28-Dec-17,256.980011,257,255.100006,256.5,1301000,256.5
27-Dec-17,257.980011,257.980011,255.520004,255.949997,1567900,255.949997
26-Dec-17,258.190002,259.200012,256,257.720001,1289300,257.720001
22-Dec-17,261.660004,262.140015,257.720001,258.970001,2100600,258.970001
21-Dec-17,256.609985,262.089996,256.279999,261.01001,3337800,261.01001
20-Dec-17,258.869995,259.089996,254.550003,255.179993,2052400,255.179993
19-Dec-17,261.600006,261.799988,256.179993,256.480011,2195500,256.480011
18-Dec-17,260,262,259.160004,260.019989,2575600,260.019989
15-Dec-17,256.700012,258.970001,254.759995,257.170013,5283400,257.170013
14-Dec-17,257.130005,259.549988,255.479996,255.479996,3353200,255.479996
13-Dec-17,257.809998,260.5,255.559998,255.559998,3482300,255.559998
12-Dec-17,250.809998,258.200012,250.690002,257.679993,3464200,257.679993
11-Dec-17,250,251.399994,248.759995,250.130005,1494200,250.130005
8-Dec-17,250.5,250.679993,247.199997,250.350006,1959100,250.350006
7-Dec-17,244.619995,249.479996,244.399994,248.559998,2667000,248.559998
6-Dec-17,246.240005,248.080002,245.130005,245.949997,2331400,245.949997
5-Dec-17,250.800003,251.350006,247.410004,248.330002,2526800,248.330002
4-Dec-17,254.889999,254.899994,250.009995,250.649994,3326100,250.649994
1-Dec-17,249.779999,250.679993,244.009995,248.949997,4765400,248.949997
30-Nov-17,244.070007,250.789993,244,247.639999,6364600,247.639999
29-Nov-17,241.25,244.470001,240.399994,241.360001,4500000,241.360001
28-Nov-17,236.089996,240,234.330002,239.410004,3212900,238.660004
27-Nov-17,235.75,236.880005,234.800003,235.110001,1999600,234.373474
24-Nov-17,237.419998,238.559998,235.550003,235.949997,1268500,235.210831
22-Nov-17,237.940002,238.949997,236.360001,236.429993,2177200,235.689331
21-Nov-17,239.410004,239.589996,237.539993,238.020004,2223800,237.274353
20-Nov-17,238.779999,238.779999,237.110001,238.130005,2000700,237.384018
17-Nov-17,238.860001,239.080002,237.119995,238.020004,2826400,237.274353
16-Nov-17,238.380005,240.690002,238.199997,239.369995,2304300,238.620117
15-Nov-17,234.970001,238.149994,233.550003,237.610001,2564100,236.865646
14-Nov-17,239.649994,240.880005,235.630005,237.240005,3000200,236.496811
13-Nov-17,237.970001,240.899994,237.160004,240.270004,1953900,239.517303
10-Nov-17,241.690002,243.320007,240,240.149994,1845600,239.397675
9-Nov-17,239.509995,242.369995,237.839996,240.789993,2122400,240.035675
8-Nov-17,239.199997,242.320007,237.550003,241.25,2349800,240.494232
7-Nov-17,243.910004,244.979996,238.839996,239.809998,2483900,239.058746
6-Nov-17,243.5,244.580002,241.669998,243.490005,1744800,242.727219
3-Nov-17,245.369995,246.279999,243.190002,244.399994,1954600,243.634369
2-Nov-17,244.690002,247.740005,243.380005,246.880005,2509100,246.106598
1-Nov-17,243.889999,247.399994,242.910004,244.259995,2969600,243.494797
31-Oct-17,240.679993,244.179993,240.630005,242.479996,2658700,241.720383
30-Oct-17,240.100006,242.589996,239.529999,240.889999,1764400,240.135361
27-Oct-17,240.850006,242.440002,239.669998,241.710007,2111500,240.952805
26-Oct-17,242.610001,244,241.529999,241.720001,1948800,240.962769
25-Oct-17,246.160004,246.5,240.800003,241.710007,2904300,240.952805
24-Oct-17,243.600006,246.25,243,244.839996,2285300,244.072983
23-Oct-17,244.389999,245.330002,241.380005,242.130005,1963300,241.37149
20-Oct-17,242.949997,245.25,240.669998,244.729996,3022800,243.963333
19-Oct-17,240.350006,240.990005,238.100006,239.990005,2710900,239.23819
18-Oct-17,236.869995,242.649994,236.869995,242.029999,4235900,241.27179
17-Oct-17,244.440002,244.889999,235.190002,236.089996,7088400,235.350403
16-Oct-17,238.600006,242.759995,238.350006,242.410004,2969200,241.650604
13-Oct-17,239,239.449997,236.839996,238.529999,2491000,237.782761
12-Oct-17,242.330002,243.419998,238.75,239.800003,2148200,239.048782
11-Oct-17,242,243.199997,241.350006,242.399994,2175700,241.640625
10-Oct-17,242.800003,243.729996,241.699997,242.600006,2187100,241.840012
9-Oct-17,245.149994,246.350006,242.020004,242.800003,2165200,242.039383
6-Oct-17,246.300003,247.080002,244.610001,246.020004,2396100,245.249298
5-Oct-17,241,246.320007,240.119995,246.059998,3521300,245.289169
4-Oct-17,241.619995,242.880005,240.119995,240.309998,1840400,239.557175
3-Oct-17,241.070007,242.710007,239.690002,241.619995,2010800,240.863068
2-Oct-17,237.199997,241.100006,237.100006,240.649994,2501300,239.896103
29-Sep-17,235.009995,237.600006,234.570007,237.190002,1902300,236.44696
28-Sep-17,235,236.199997,233.5,235.470001,2121800,234.732346
27-Sep-17,234.070007,235.600006,232.910004,234.759995,3072100,234.024567
26-Sep-17,230.860001,231.440002,229.029999,229.940002,1770000,229.219666
25-Sep-17,230.770004,231.860001,228.360001,230.259995,2261800,229.538666
22-Sep-17,230.639999,231.490005,228.880005,231.029999,1861800,230.306244
21-Sep-17,229.889999,232.100006,229.399994,231.289993,1800800,230.56543
20-Sep-17,229.5,231.649994,228.5,229.789993,2682300,229.070129
19-Sep-17,228.009995,230.139999,227.330002,228.910004,1858000,228.192902
18-Sep-17,226.300003,229,225.660004,227.529999,2466800,226.817215
15-Sep-17,227.149994,227.210007,223.820007,225.220001,4365800,224.51445
14-Sep-17,226.100006,228.100006,226.050003,226.850006,1986600,226.139359
13-Sep-17,225.25,227.139999,224.720001,226.559998,2383500,225.85025
12-Sep-17,222.539993,227.690002,222.020004,225.949997,3745800,225.242157
11-Sep-17,220.070007,221.889999,218.990005,221.059998,2971500,220.367477
8-Sep-17,215.509995,219.279999,215.399994,217.210007,3120900,216.529556
7-Sep-17,218.729996,218.809998,214.639999,215.839996,3594600,215.163834
6-Sep-17,218.979996,221.020004,217.610001,218.830002,3613600,218.14447
5-Sep-17,223.850006,224,217.300003,217.779999,5646200,217.097763
1-Sep-17,224.550003,227.559998,223.529999,225.880005,2346900,225.172394
31-Aug-17,223.25,224.490005,222.580002,223.740005,2240600,223.039093
30-Aug-17,220.25,224.220001,220.089996,222.419998,2411400,221.723221
29-Aug-17,217.270004,220.130005,215.75,219.960007,2369100,219.270935
28-Aug-17,222.910004,223.089996,218.860001,220.350006,2641600,218.912064
25-Aug-17,223.639999,224.949997,222.130005,222.470001,2232500,221.018219
24-Aug-17,223.770004,224.570007,222.589996,222.990005,2263000,221.534836
23-Aug-17,221.899994,224.809998,221.330002,222.740005,2568000,221.286469
22-Aug-17,221.860001,223.779999,221.330002,223.580002,2021300,222.120987
21-Aug-17,222.399994,222.399994,219.210007,220.789993,2203300,219.349182
18-Aug-17,220.789993,224.089996,220.550003,222.149994,3149300,220.700317
17-Aug-17,224.380005,225.979996,221.110001,221.419998,3460300,219.975082
16-Aug-17,228.259995,229.009995,225,225.610001,2393900,224.137741
15-Aug-17,229.570007,230.610001,227.5,227.589996,1867000,226.104813
14-Aug-17,226.369995,229.830002,226.300003,227.360001,2255500,225.876328
11-Aug-17,225.070007,226.679993,222.649994,224.149994,2956600,222.687271
10-Aug-17,229.020004,229.449997,225.470001,225.5,3325500,224.028442
9-Aug-17,230.320007,231.490005,229.059998,231.009995,2571100,229.502487
8-Aug-17,232.399994,235.830002,231.699997,232.050003,3322500,230.535706
7-Aug-17,229.800003,233.130005,229.289993,232.919998,3809800,231.400024
4-Aug-17,226.050003,229.789993,225.059998,229.789993,3400300,228.290451
3-Aug-17,226,226.740005,223.970001,223.990005,2106400,222.528305
2-Aug-17,226.399994,227.729996,225.570007,226.270004,1863300,224.793442
1-Aug-17,227.089996,228.619995,226.729996,227,2986800,225.518661
31-Jul-17,223.949997,225.5,223.050003,225.330002,1994900,223.859558
28-Jul-17,221.770004,223.669998,220.860001,223.610001,2483200,222.150787
27-Jul-17,221.839996,222.710007,220.429993,221.479996,2812500,220.034683
26-Jul-17,222.449997,223.740005,221.869995,222.25,2792500,220.799652
25-Jul-17,220.339996,222.869995,220.179993,221.580002,3509500,220.134033
24-Jul-17,218.940002,219.729996,218,218.179993,3123100,216.75621
21-Jul-17,221.889999,222.309998,219.089996,220.179993,3446600,218.743164
20-Jul-17,223,224.759995,221.610001,222.300003,3497800,220.849335
19-Jul-17,222.910004,224.199997,221.669998,222.869995,4884600,221.415604
18-Jul-17,227.5,230.360001,222.759995,223.309998,6400700,221.852737
17-Jul-17,228.729996,229.639999,227.210007,229.259995,2551800,227.763916
14-Jul-17,227.220001,229.610001,225.100006,228.600006,3703600,227.108231
13-Jul-17,227.389999,230.639999,226.949997,230.399994,2852600,228.896469
12-Jul-17,226.399994,229.020004,226.070007,227.389999,2567300,225.906128
