Date,Open,High,Low,Close,Volume,Adj Close
29-Dec-17,92.239998,92.459999,91.879997,91.879997,4346700,91.184853
28-Dec-17,92.300003,92.540001,91.910004,92.07,3005400,91.373413
27-Dec-17,92.489998,92.75,91.93,92.099998,4276700,91.403191
26-Dec-17,92.349998,92.769997,92.150002,92.480003,3431900,91.780319
22-Dec-17,91.879997,92.43,91.720001,92.129997,4919400,91.432961
21-Dec-17,91.660004,92.080002,91.529999,91.669998,4860400,90.97644
20-Dec-17,91.800003,91.970001,91.349998,91.529999,6938500,90.837502
19-Dec-17,92,92.129997,91.580002,91.68,5644400,90.986366
18-Dec-17,91.980003,93.139999,91.809998,91.879997,7405700,91.184853
15-Dec-17,91.57,92.269997,91.480003,91.889999,15924000,91.194778
14-Dec-17,90.940002,91.43,90.900002,91,5853500,90.311516
13-Dec-17,90.019997,91.410004,89.970001,90.879997,7141000,90.192421
12-Dec-17,90.449997,90.510002,89.82,89.849998,6558900,89.170212
11-Dec-17,90.230003,90.330002,89.75,90.230003,4856000,89.54734
8-Dec-17,90.019997,90.370003,89.580002,90.370003,5883400,89.686279
7-Dec-17,91.050003,91.07,89.889999,90.099998,7273600,89.41832
6-Dec-17,91.389999,91.779999,91.07,91.25,6737400,90.559624
5-Dec-17,91.519997,91.839996,91.07,91.400002,8683000,90.708488
4-Dec-17,91.760002,91.910004,89.830002,91.410004,9003700,90.718414
1-Dec-17,90.18,90.529999,89.120003,90.360001,7953200,89.676353
30-Nov-17,89.349998,90.370003,89.209999,89.989998,9789900,89.309151
29-Nov-17,89.400002,89.809998,89.029999,89.379997,5158900,88.703766
28-Nov-17,89.480003,89.519997,88.910004,89.400002,4841300,88.723618
27-Nov-17,88.330002,89.099998,88.150002,88.959999,6199700,88.286949
24-Nov-17,88.589996,88.959999,88.419998,88.449997,2196700,87.7808
22-Nov-17,88.5,88.910004,88.059998,88.330002,6006900,87.661713
21-Nov-17,88.18,89.209999,88.019997,88.720001,6196400,88.048767
20-Nov-17,88.43,88.559998,87.709999,88.269997,4926200,87.602165
17-Nov-17,88.949997,89.089996,88.080002,88.43,5941800,87.760956
16-Nov-17,89.839996,89.900002,88.769997,89.25,7205100,88.574753
15-Nov-17,88.730003,88.940002,88,88.230003,6688100,87.562469
14-Nov-17,88.739998,89.050003,88.470001,88.870003,5035500,88.197632
13-Nov-17,88.669998,89.410004,88.629997,89,6873500,88.326645
10-Nov-17,87.989998,88.389999,87.779999,88.160004,7227300,87.493004
9-Nov-17,87.349998,88.169998,87.300003,87.779999,5280000,87.115875
8-Nov-17,86.989998,87.599998,86.800003,87.580002,6910000,86.917389
7-Nov-17,86.040001,87,85.419998,86.980003,6875100,86.32193
6-Nov-17,86.550003,86.639999,86.029999,86.050003,5186700,85.398964
3-Nov-17,86.779999,87.160004,86.459999,86.580002,5106500,85.924957
2-Nov-17,86.779999,87.040001,86.230003,86.510002,5021200,85.855484
1-Nov-17,86.330002,87.139999,86.110001,86.889999,4884100,86.232605
31-Oct-17,86.489998,86.5,85.720001,86.339996,7119000,85.686768
30-Oct-17,86.910004,87.080002,86.160004,86.269997,5387100,85.617294
27-Oct-17,87.529999,87.529999,86.449997,87.040001,7433800,86.381477
26-Oct-17,87.190002,87.769997,87.099998,87.5,6233800,86.83799
25-Oct-17,86.900002,87.110001,86.279999,86.860001,9024300,86.202835
24-Oct-17,87.370003,87.419998,86.779999,86.980003,11519000,86.32193
23-Oct-17,88.629997,88.860001,86.870003,87.300003,13358200,86.639511
20-Oct-17,89.720001,89.959999,87.589996,88.25,19997800,87.582321
19-Oct-17,91.699997,91.989998,91.139999,91.589996,8585000,90.897041
18-Oct-17,92.779999,92.949997,92.010002,92.769997,7399700,91.383339
17-Oct-17,93.040001,93.089996,92.400002,92.800003,5316100,91.412895
16-Oct-17,92.970001,93.370003,92.709999,93.139999,4159100,91.747803
13-Oct-17,92.699997,93.510002,92.589996,93.040001,6956700,91.649307
12-Oct-17,91.410004,92.309998,91.389999,92.150002,5984900,90.772614
11-Oct-17,91.089996,91.730003,91.07,91.459999,7115400,90.092918
10-Oct-17,92.370003,93.040001,89.860001,91.620003,17125600,90.250534
9-Oct-17,92.400002,92.620003,91.93,92.120003,5149000,90.743057
6-Oct-17,92,92.349998,91.879997,92.330002,5241900,90.949921
5-Oct-17,92.489998,92.650002,91.940002,92.029999,6912800,90.654404
4-Oct-17,92.120003,92.800003,92.019997,92.419998,6140700,91.038567
3-Oct-17,91.959999,92.339996,91.559998,92.120003,5909900,90.743057
2-Oct-17,91.260002,92.400002,91.239998,91.769997,7302400,90.398285
29-Sep-17,90.970001,91.43,90.699997,90.980003,6634500,89.620094
28-Sep-17,90.860001,91.120003,90.629997,90.889999,4999800,89.531441
27-Sep-17,92.519997,92.519997,90.339996,90.870003,9631200,89.511742
26-Sep-17,92.82,92.849998,92.199997,92.650002,4885200,91.265137
25-Sep-17,92.43,93.089996,92.330002,92.720001,6436200,91.334091
22-Sep-17,92.550003,93,92.080002,92.239998,6837700,90.861259
21-Sep-17,94.150002,94.5,92.449997,92.639999,9376700,91.255287
20-Sep-17,94.169998,94.669998,93.830002,94.400002,5941500,92.988976
19-Sep-17,93.339996,94.449997,93.339996,94.169998,6587200,92.762413
18-Sep-17,93.169998,93.5,92.860001,93.150002,6177700,91.757668
15-Sep-17,93.82,93.82,92.82,93.269997,12428800,91.875862
14-Sep-17,93.230003,93.650002,93.18,93.550003,5492300,92.151688
13-Sep-17,93.5,93.769997,93.449997,93.550003,5369300,92.151688
12-Sep-17,93.720001,93.980003,93.209999,93.510002,5804000,92.112282
11-Sep-17,93.089996,94.190002,92.900002,93.989998,10177300,92.585106
8-Sep-17,92.760002,93.150002,92.510002,92.839996,6070100,91.452293
7-Sep-17,92.739998,93.360001,92.330002,92.970001,7735400,91.580353
6-Sep-17,92.790001,92.910004,92.360001,92.720001,6747200,91.334091
5-Sep-17,92.18,92.739998,92.040001,92.720001,6532100,91.334091
1-Sep-17,92.419998,92.660004,92.260002,92.529999,4960700,91.146927
31-Aug-17,91.889999,92.389999,91.839996,92.269997,5864400,90.890816
30-Aug-17,92.080002,92.080002,91.660004,91.870003,4709600,90.496796
29-Aug-17,92.480003,92.690002,92.239998,92.32,3676300,90.940071
28-Aug-17,92.519997,92.709999,91.980003,92.470001,5386500,91.08783
25-Aug-17,92.650002,92.860001,92.410004,92.510002,4933000,91.127228
24-Aug-17,92.440002,92.57,92.040001,92.269997,5173700,90.890816
23-Aug-17,92.5,92.660004,92.279999,92.440002,3631900,91.058273
22-Aug-17,92.910004,92.959999,92.589996,92.790001,4731500,91.403046
21-Aug-17,92.379997,92.959999,92.360001,92.860001,4334300,91.471992
18-Aug-17,91.980003,92.779999,91.849998,92.470001,6815000,91.08783
17-Aug-17,92.400002,92.669998,92.07,92.07,5711400,90.69381
16-Aug-17,92.290001,92.949997,92.190002,92.440002,7965500,91.058273
15-Aug-17,91.910004,92.360001,91.879997,92.199997,5293400,90.821861
14-Aug-17,91.540001,91.949997,91.25,91.650002,5339900,90.280083
11-Aug-17,91.940002,92.080002,91.290001,91.339996,7094200,89.974709
10-Aug-17,91.860001,92,91.690002,91.739998,6338200,90.368729
9-Aug-17,91.519997,91.940002,91.519997,91.919998,5572800,90.546043
8-Aug-17,91.400002,91.940002,91.230003,91.580002,5623400,90.211128
7-Aug-17,90.669998,91.559998,90.519997,91.440002,5011300,90.073227
4-Aug-17,90.690002,91.080002,90.529999,90.669998,5824400,89.314728
3-Aug-17,90.860001,91.75,90.82,90.860001,6413200,89.501892
2-Aug-17,90.970001,91.300003,90.529999,91.040001,7167700,89.679199
1-Aug-17,91.029999,91.730003,90.720001,91.099998,8662100,89.738297
31-Jul-17,90.209999,91.07,90.209999,90.82,7835700,89.462486
28-Jul-17,90.559998,91,89.959999,90.209999,6137500,88.861603
