Date,Open,High,Low,Close,Volume,Adj Close
29-Dec-17,99.400002,99.690002,98.75,98.75,7144300,98.75
28-Dec-17,99.519997,99.620003,99.120003,99.400002,9763900,99.400002
27-Dec-17,99.559998,99.599998,98.830002,99.260002,5140800,99.260002
26-Dec-17,98.349998,99.440002,98.349998,99.160004,4295900,99.160004
22-Dec-17,98.290001,98.419998,97.68,98.209999,5478700,98.209999
21-Dec-17,99,99.330002,97.980003,98.059998,7369100,98.059998
20-Dec-17,99.449997,99.650002,98.449997,98.75,10729800,98.75
19-Dec-17,99.910004,99.910004,98.290001,98.800003,12012200,98.800003
18-Dec-17,97.379997,98.169998,97.360001,97.900002,7964400,97.900002
15-Dec-17,97.709999,98.489998,96.910004,97.110001,16142800,97.110001
14-Dec-17,98,98.57,97.099998,97.129997,9385800,97.129997
13-Dec-17,96.660004,97.910004,96.550003,97.760002,7879400,97.760002
12-Dec-17,96.849998,97.239998,96.599998,96.699997,7810600,96.699997
11-Dec-17,96.959999,97.269997,96.290001,96.93,8928900,96.93
8-Dec-17,96.300003,96.699997,96.139999,96.550003,5821100,96.550003
7-Dec-17,97.059998,97.580002,96.650002,96.779999,7502600,96.779999
6-Dec-17,97.989998,98.139999,97.239998,97.279999,7141000,96.769997
5-Dec-17,97,97.940002,96.919998,97.830002,9010100,97.317123
4-Dec-17,97.730003,97.959999,96.68,97.010002,8956500,96.501419
1-Dec-17,97.610001,97.709999,96.230003,97.349998,8296200,96.83963
30-Nov-17,98.089996,98.440002,96.510002,97.230003,12854700,96.720268
29-Nov-17,97.220001,98.260002,96.879997,97.559998,11424000,97.048531
28-Nov-17,96.589996,96.889999,95.82,96.769997,8709600,96.262672
27-Nov-17,96.849998,97.650002,96.300003,96.620003,8904900,96.113464
24-Nov-17,96.870003,97.230003,96.529999,96.620003,4496100,96.113464
22-Nov-17,96.650002,96.809998,96.110001,96.410004,8918200,95.904564
21-Nov-17,97.739998,97.919998,96.32,96.519997,12746500,96.013985
20-Nov-17,96.440002,97.639999,95.760002,97.480003,16394300,96.968956
17-Nov-17,99.239998,100.129997,96.580002,97.470001,23575500,96.959007
16-Nov-17,95.120003,99.68,94.720001,99.620003,38122400,99.097733
15-Nov-17,90.339996,90.849998,89.650002,89.830002,8433400,89.359062
14-Nov-17,90.699997,91.199997,90.18,91.089996,9834100,90.61245
13-Nov-17,91.040001,91.980003,90.870003,90.989998,8491600,90.512978
10-Nov-17,90.239998,91.690002,90.199997,90.919998,7647800,90.443344
9-Nov-17,89.940002,90.57,89.349998,90.300003,6904500,89.826599
8-Nov-17,89.110001,90.419998,89.099998,90.260002,6767500,89.786804
7-Nov-17,88.870003,89.059998,88.309998,88.949997,5349300,88.483665
6-Nov-17,89.419998,89.68,88.68,88.699997,5257400,88.234978
3-Nov-17,89.019997,89.879997,88.760002,89.68,6512100,89.209846
